tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
234,44,5,16921,0.841726618705036,0.9790794979079498,0.9052224371373307,0.906446764413739,"['ABL1', 'ACTBL2', 'ADAM22', 'CALM1', 'CFTR', 'COPS5', 'CREB3', 'CUL1', 'CUL3', 'DAO', 'DLG1', 'FGF9', 'FYN', 'GOPC', 'GRB2', 'H1-2', 'HCN2', 'HCN4', 'HSCB', 'HSF2BP', 'HSP90AB1', 'IFNGR1', 'KRT31', 'MATR3', 'MEOX2', 'MYC', 'NCK1', 'NEK4', 'OPRL1', 'PICK1', 'PPP1CC', 'PPT1', 'PSMD2', 'SCRIB', 'SNCA', 'SPRED1', 'SSR3', 'TP53', 'UBQLN2', 'VCAM1', 'YWHAB', 'YWHAG', 'YWHAH', 'YWHAZ']"
237,42,33,16892,0.8494623655913979,0.8777777777777778,0.8633879781420764,0.8612930395636222,"['ABL1', 'ADAM22', 'ATXN1', 'BAG6', 'CALM1', 'CAPZA2', 'CDC5L', 'CFTR', 'COPS5', 'CREB3', 'CUL3', 'DAO', 'DLG1', 'ERBB2', 'FGF9', 'GRB2', 'HCN4', 'HSCB', 'HSP90AB1', 'HSPA5', 'KRT31', 'LMNA', 'MATR3', 'MDFI', 'MEOX2', 'MYC', 'PICK1', 'PPP1CC', 'PPT1', 'PSMD2', 'SCRIB', 'SGTA', 'SORT1', 'SPRED1', 'SSR3', 'TP53', 'UBQLN1', 'UBQLN2', 'VCAM1', 'VIM', 'YWHAG', 'YWHAZ']"
68,1,0,17135,0.9855072463768116,1.0,0.9927007299270074,0.9926982096537373,['TERF1']
104,6,1,17093,0.9454545454545454,0.9904761904761905,0.9674418604651163,0.9675022151006284,"['BOD1', 'HTT', 'NR3C2', 'RBPJ', 'SRC', 'TEX101']"
150,12,2,17040,0.9259259259259259,0.9868421052631579,0.9554140127388535,0.9554974401139155,"['APP', 'BOD1', 'CUL3', 'EP300', 'GRB2', 'HSCB', 'HSPA5', 'HTT', 'LMBR1', 'MYC', 'RBPJ', 'SSRP1']"
84,5,23,17092,0.9438202247191011,0.7850467289719626,0.8571428571428571,0.8600071909765244,"['H3-4', 'HSPA5', 'HTT', 'NEK4', 'SCRIB']"
100,9,7,17088,0.9174311926605505,0.9345794392523364,0.925925925925926,0.9254981975216929,"['CD9', 'GAPDHS', 'H3-4', 'HSPA5', 'HTT', 'KCTD17', 'NEK4', 'SCRIB', 'TPM2']"
82,5,0,17117,0.9425287356321839,1.0,0.9704142011834319,0.970697427906039,"['APP', 'GRB2', 'ICAM1', 'PAXIP1', 'UGDH']"
102,12,5,17085,0.8947368421052632,0.9532710280373832,0.923076923076923,0.9230493061855122,"['CD9', 'GAPDHS', 'H3-4', 'HSPA5', 'HTT', 'JUP', 'KCTD17', 'MYC', 'NEK4', 'PIH1D2', 'SCRIB', 'TPM2']"
83,3,1,17117,0.9651162790697675,0.9880952380952381,0.9764705882352942,0.9764220226745727,"['HSCB', 'IKBKG', 'SLC22A9']"
55,0,1,17148,1.0,0.9821428571428571,0.9909909909909909,0.9910023138208864,[]
152,12,3,17037,0.926829268292683,0.9806451612903225,0.9529780564263324,0.9529248450427332,"['APP', 'ARRB2', 'CXCL11', 'CYSRT1', 'ERGIC2', 'GNB2', 'H3-4', 'HLA-DPA1', 'HTT', 'MEOX2', 'POLD1', 'SEMA7A']"
102,4,5,17093,0.9622641509433962,0.9532710280373832,0.9577464788732395,0.9574939725561583,"['CUL3', 'HNRNPL', 'HSCB', 'HTT']"
66,2,5,17131,0.9705882352941176,0.9295774647887324,0.9496402877697842,0.9496591227819159,"['APP', 'CAND1']"
187,8,2,17007,0.958974358974359,0.9894179894179894,0.9739583333333334,0.9737860713259513,"['EMC2', 'FYN', 'H2BC18', 'H2BC20P', 'H2BC9', 'KLHL8', 'PNN', 'PRDX4']"
71,0,0,17133,1.0,1.0,1.0,1.0,[]
75,0,1,17128,1.0,0.9868421052631579,0.9933774834437086,0.9933702697905215,[]
75,0,11,17118,1.0,0.872093023255814,0.9316770186335404,0.9335593058445345,[]
78,0,2,17124,1.0,0.975,0.9873417721518987,0.9873632249763686,[]
103,4,6,17091,0.9626168224299065,0.944954128440367,0.9537037037037037,0.9534526533393463,"['MEOX2', 'MYC', 'NME2P1', 'SRC']"
108,5,1,17090,0.9557522123893806,0.9908256880733946,0.9729729729729731,0.9729575250739838,"['HTT', 'MEOX2', 'MYC', 'NME2P1', 'SRC']"
246,49,27,16882,0.8338983050847457,0.9010989010989011,0.8661971830985915,0.8646254817240278,"['APP', 'ATXN1', 'BRCA1', 'CAND1', 'CDC37', 'CDC5L', 'COPS5', 'CUL1', 'CUL3', 'CUL4B', 'CYP2A7', 'DLD', 'DLST', 'EGFR', 'ERBB2', 'ESR1', 'FN1', 'GRB2', 'HLA-DQA1', 'HSCB', 'HSP90AA1', 'HSP90AB1', 'HSPA8', 'HSPB1', 'HTT', 'IKBKG', 'LMNA', 'MAPK6', 'MDM2', 'MEOX2', 'METTL14', 'MYC', 'NEK4', 'NR3C1', 'NR3C2', 'P2RY6', 'PCNA', 'RABAC1', 'SNW1', 'SRC', 'STUB1', 'TEX101', 'TMEM17', 'TP53', 'UBQLN2', 'VCAM1', 'VCP', 'YWHAG', 'YWHAZ']"
62,1,0,17141,0.9841269841269841,1.0,0.9919999999999999,0.992002809395751,['ALX1']
62,1,0,17141,0.9841269841269841,1.0,0.9919999999999999,0.992002809395751,['ALX1']
48,2,1,17153,0.96,0.9795918367346939,0.9696969696969697,0.9696592925354723,"['H2BC9', 'MLH1']"
98,4,2,17100,0.9607843137254902,0.98,0.9702970297029702,0.9701697562861621,"['ATF7', 'CUL3', 'HTT', 'VCAM1']"
78,5,0,17121,0.9397590361445783,1.0,0.9689440993788819,0.969270173876008,"['ADRB2', 'APP', 'HTT', 'HUWE1', 'OPRL1']"
63,4,0,17137,0.9402985074626866,1.0,0.9692307692307692,0.9695767533859194,"['ASMTL', 'CCL5', 'LMNA', 'QSOX1']"
175,28,4,16997,0.8620689655172413,0.9776536312849162,0.9162303664921466,0.9171463490542758,"['APP', 'BAG6', 'CAND1', 'COPS5', 'CRHR1', 'CUL3', 'CYSRT1', 'EGFR', 'EP300', 'ESR1', 'EWSR1', 'GRB2', 'HSCB', 'HSP90AB1', 'HSPA8', 'HTT', 'LMNA', 'MEOX2', 'MYC', 'PCNA', 'PICK1', 'RRS1', 'SGTA', 'SNCA', 'THEM4', 'UBQLN1', 'YWHAG', 'YWHAZ']"
45,0,4,17155,1.0,0.9183673469387755,0.9574468085106383,0.9582031427731638,[]
138,7,0,17059,0.9517241379310345,1.0,0.9752650176678445,0.9753634025729717,"['ALX1', 'ASF1A', 'HTT', 'NUDT15', 'PLRG1', 'RANBP9', 'TK1']"
118,9,3,17074,0.9291338582677166,0.9752066115702479,0.9516129032258065,0.9515444027465146,"['APP', 'CRHR1', 'CUL3', 'EGFR', 'GRB2', 'HTT', 'HUWE1', 'MEOX2', 'YWHAG']"
42,1,8,17153,0.9767441860465116,0.84,0.9032258064516129,0.9055476896053307,['IFNA21']
49,0,9,17146,1.0,0.8448275862068966,0.9158878504672897,0.9189038935993343,[]
99,3,1,17101,0.9705882352941176,0.99,0.9801980198019802,0.9801297038734206,"['DNAJC5', 'GABRA3', 'SREBF1']"
79,0,0,17125,1.0,1.0,1.0,1.0,[]
82,1,1,17120,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9878933994256331,['EWSR1']
