tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
82,2,0,17120,0.9761904761904762,1.0,0.9879518072289156,0.9879658134611643,"['ALX1', 'GRB2']"
82,2,0,17120,0.9761904761904762,1.0,0.9879518072289156,0.9879658134611643,"['ALX1', 'GRB2']"
119,5,1,17079,0.9596774193548387,0.9916666666666667,0.9754098360655739,0.975367209986991,"['CCL5', 'CUL3', 'GRB2', 'HTT', 'MYC']"
85,2,3,17114,0.9770114942528736,0.9659090909090909,0.9714285714285714,0.9712985389337221,"['ASMTL', 'CCL5']"
207,15,16,16966,0.9324324324324325,0.9282511210762332,0.9303370786516854,0.9294267339629289,"['CAND1', 'CRHR1', 'CUL3', 'EGFR', 'ESR1', 'GRB2', 'HSCB', 'HSP90AB1', 'HTT', 'LMNA', 'MEOX2', 'PICK1', 'THEM4', 'TMEM17', 'YWHAG']"
192,2,0,17010,0.9896907216494846,1.0,0.9948186528497409,0.9947735267777342,"['ALX1', 'NUDT15']"
154,3,3,17044,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9807157357011096,"['CRHR1', 'MEOX2', 'YWHAG']"
77,0,2,17125,1.0,0.9746835443037974,0.9871794871794872,0.9872029811247753,[]
109,0,1,17094,1.0,0.990909090909091,0.995433789954338,0.9954150521567632,[]
151,3,0,17050,0.9805194805194806,1.0,0.9901639344262295,0.9901247322679738,"['CUL3', 'MYC', 'VIM']"
64,0,0,17140,1.0,1.0,1.0,1.0,[]
65,0,0,17139,1.0,1.0,1.0,1.0,[]
66,0,1,17137,1.0,0.9850746268656716,0.9924812030075187,0.9924803010102495,[]
196,4,2,17002,0.98,0.98989898989899,0.9849246231155778,0.9847609352413297,"['GRB2', 'HTT', 'MEOX2', 'SNW1']"
113,0,1,17090,1.0,0.9912280701754386,0.9955947136563876,0.9955752473303306,[]
175,2,1,17026,0.9887005649717514,0.9943181818181818,0.9915014164305949,0.991417385372893,"['CEP83', 'COPS5']"
82,1,0,17121,0.9879518072289156,1.0,0.993939393939394,0.9939286224393977,['ALX1']
262,21,19,16902,0.9257950530035336,0.9323843416370107,0.9290780141843972,0.9279021660867203,"['ATXN1', 'COPS5', 'CUL3', 'CYP2A7', 'EP300', 'FGFR3', 'GRB2', 'GSK3B', 'H2BC21', 'HSP90AB1', 'HTT', 'LMNA', 'MAPK6', 'NPM1', 'SNW1', 'TEX101', 'TMEM17', 'UBE2I', 'UBQLN2', 'VCAM1', 'YWHAG']"
323,12,12,16857,0.9641791044776119,0.9641791044776119,0.9641791044776119,0.9634677404370642,"['APPBP2', 'CAND1', 'CDC5L', 'CUL1', 'HTT', 'LMNA', 'MAPK6', 'SNW1', 'SPINK2', 'SPRED1', 'UBE2I', 'YWHAG']"
158,0,0,17046,1.0,1.0,1.0,1.0,[]
172,9,8,17015,0.9502762430939227,0.9555555555555556,0.9529085872576178,0.952413013362484,"['CAND1', 'COPS5', 'GRB2', 'HSCB', 'HSP90AB1', 'HTT', 'VCAM1', 'YWHAG', 'ZFYVE9']"
63,0,2,17139,1.0,0.9692307692307692,0.9843749999999999,0.9844377481874438,[]
275,11,13,16905,0.9615384615384616,0.9548611111111112,0.9581881533101045,0.9574848275049161,"['BRCA1', 'COPS5', 'FN1', 'FYN', 'H4-16', 'HSCB', 'MEOX2', 'PCNA', 'PRSS33', 'SNW1', 'YWHAG']"
189,2,3,17010,0.9895287958115183,0.984375,0.9869451697127937,0.9868016596943039,"['ALX1', 'NUDT15']"
87,0,0,17117,1.0,1.0,1.0,1.0,[]
66,0,1,17137,1.0,0.9850746268656716,0.9924812030075187,0.9924803010102495,[]
148,0,2,17054,1.0,0.9866666666666667,0.9932885906040269,0.9932527217963449,[]
112,1,1,17090,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9910919321508034,['CUL3']
73,0,0,17131,1.0,1.0,1.0,1.0,[]
188,5,2,17009,0.9740932642487047,0.9894736842105263,0.9817232375979114,0.9815483125268946,"['CUL3', 'IRF2', 'MTNR1A', 'PIK3R1', 'VCAM1']"
204,11,5,16984,0.9488372093023256,0.9760765550239234,0.9622641509433962,0.9618921684318054,"['ATXN1', 'BCKDHA', 'COPS5', 'CUL3', 'HOXA1', 'HSCB', 'HSP90AB1', 'HSPB1', 'PIK3R1', 'VCAM1', 'YWHAG']"
89,0,0,17115,1.0,1.0,1.0,1.0,[]
104,0,0,17100,1.0,1.0,1.0,1.0,[]
