tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
64,6,0,17134,0.9142857142857143,1.0,0.955223880597015,0.9560155129198954,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
39,5,20,17140,0.8863636363636364,0.6610169491525424,0.7572815533980584,0.7647697824859278,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP', 'NEK4']"
82,0,0,17122,1.0,1.0,1.0,1.0,[]
75,0,0,17129,1.0,1.0,1.0,1.0,[]
87,0,2,17115,1.0,0.9775280898876404,0.9886363636363636,0.9886424392398789,[]
121,0,1,17082,1.0,0.9918032786885246,0.9958847736625513,0.995864057378515,[]
116,0,5,17083,1.0,0.9586776859504132,0.9789029535864979,0.9789776166935901,[]
124,0,0,17080,1.0,1.0,1.0,1.0,[]
121,0,0,17083,1.0,1.0,1.0,1.0,[]
71,0,1,17132,1.0,0.9861111111111112,0.993006993006993,0.9930022934858324,[]
70,0,2,17132,1.0,0.9722222222222222,0.9859154929577464,0.9859557483288016,[]
48,0,2,17154,1.0,0.96,0.9795918367346939,0.9797387844731299,[]
71,0,1,17132,1.0,0.9861111111111112,0.993006993006993,0.9930022934858324,[]
72,0,0,17132,1.0,1.0,1.0,1.0,[]
57,6,0,17141,0.9047619047619048,1.0,0.9500000000000001,0.9510232986654565,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
59,6,10,17129,0.9076923076923077,0.855072463768116,0.8805970149253731,0.8805260698472245,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
68,6,0,17130,0.918918918918919,1.0,0.9577464788732395,0.9584347492642202,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
62,6,9,17127,0.9117647058823529,0.8732394366197183,0.8920863309352517,0.8918582547807552,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
39,5,22,17138,0.8863636363636364,0.639344262295082,0.742857142857143,0.7520729262781111,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP', 'NEK4']"
70,5,0,17129,0.9333333333333333,1.0,0.9655172413793104,0.9659508115790665,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP']"
7,5,45,17147,0.5833333333333334,0.1346153846153846,0.21875,0.2792919629334738,"['AP2M1', 'ASF1A', 'NEK4', 'POT1', 'TERF1']"
53,0,1,17150,1.0,0.9814814814814815,0.9906542056074767,0.990668590184107,[]
58,4,0,17142,0.9354838709677419,1.0,0.9666666666666666,0.9670913252679062,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP']"
112,0,0,17092,1.0,1.0,1.0,1.0,[]
42,1,8,17153,0.9767441860465116,0.84,0.9032258064516129,0.9055476896053307,['NCOA1']
81,4,0,17119,0.9529411764705882,1.0,0.9759036144578312,0.9760730329600871,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP']"
63,4,0,17137,0.9402985074626866,1.0,0.9692307692307692,0.9695767533859194,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP']"
58,4,0,17142,0.9354838709677419,1.0,0.9666666666666666,0.9670913252679062,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP']"
58,4,0,17142,0.9354838709677419,1.0,0.9666666666666666,0.9670913252679062,"['AP2M1', 'ASF1A', 'DNAJC9', 'NASP']"
28,3,22,17151,0.9032258064516129,0.56,0.691358024691358,0.7105851874239555,"['AP2M1', 'ASF1A', 'NEK4']"
47,6,11,17140,0.8867924528301887,0.8103448275862069,0.8468468468468469,0.8472177151519579,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
58,6,0,17140,0.90625,1.0,0.9508196721311475,0.9518050591588504,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
83,0,4,17117,1.0,0.9540229885057471,0.976470588235294,0.976626898542933,[]
112,1,5,17086,0.9911504424778761,0.9572649572649573,0.9739130434782609,0.9738868248117479,['ALX1']
